,Government Composition and Parties in Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Investiture Date,Prime Minister,,Days in Year,Termination (prev. Gov.),Number of Cabinet Posts,,,,% of Posts in Government,,,,% of Seats in Parliament,,,,Government Type,Parliament. Election,Investiture Date,Governing Party 1,,,,Governing Party 2,,,,Governing Party 3,,,,Governing Party 4,,,,Governing Party 5,,,,Governing Party 6,,,,Governing Party 7,,,,Governing Party 8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Right,Centre,Left,Total,Right,Centre,Left,Total,Right,Centre,Left,Total,,,,Name,Family,Ideology,% Seats,Name,Family,Ideology,% Seats,Name,Family,Ideology,% Seats,Name,Family,Ideology,% Seats,Name,Family,Ideology,% Seats,Name,Family,Ideology,% Seats,Name,Family,Ideology,% Seats,Name,Family,Ideology,% Seats,,,,,,,,,,,,,,,,,,,,,
1959,,Menzies V (LIB),,0,,12,,,12,100.0,0.0,0.0,100.0,63.1,,,63.1,2,,,LIB,conserv1,right,47.5,CNT,agrarian,right,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,,Menzies V (LIB),,365,,12,,,12,100.0,0.0,0.0,100.0,63.1,,,63.1,2,,,LIB,conserv1,right,47.5,CNT,agrarian,right,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,,Menzies V (LIB),,0,,12,,,12,100.0,0.0,0.0,100.0,63.1,,,63.1,2,,,LIB,conserv1,right,47.5,CNT,agrarian,right,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,,Menzies V (LIB),,366,,12,,,12,100.0,0.0,0.0,100.0,63.1,,,63.1,2,,,LIB,conserv1,right,47.5,CNT,agrarian,right,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,,Menzies V (LIB),,356,,12,,,12,100.0,0.0,0.0,100.0,63.1,,,63.1,2,,,LIB,conserv1,right,47.5,CNT,agrarian,right,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,1961-12-23,Menzies VI (LIB),,9,1,12,,,12,100.0,0.0,0.0,100.0,50.8,,,50.8,2,1961-12-09,1961-12-23,LIB,conserv1,right,36.9,CNT,agrarian,right,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,Menzies VI (LIB),,0,,12,,,12,100.0,0.0,0.0,100.0,50.8,,,50.8,2,,,LIB,conserv1,right,36.9,CNT,agrarian,right,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,Menzies VI (LIB),,365,,12,,,12,100.0,0.0,0.0,100.0,50.8,,,50.8,2,,,LIB,conserv1,right,36.9,CNT,agrarian,right,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
